Website,Public-Facing,Canonical List
bapts.lbl.gov,Yes,Yes
basc.pnnl.gov,Yes,Yes
basemap.nationalmap.gov,Yes,Yes
batterygroup.lbl.gov,Yes,Yes
baycam.lbl.gov,Yes,Yes
bc2m2.pnnl.gov,Yes,Yes
bccp.lbl.gov,Yes,Yes
bcda.cms.gov,Yes,Yes
bcgcfm5.ncifcrf.gov,No,Yes
bcl.nrel.gov,Yes,Yes
bcrisktool.cancer.gov,Yes,Yes
bcsb.als.lbl.gov,Yes,Yes
bdc.lbl.gov,Yes,Yes
bec.ic3.gov,Yes,Yes
bedes.lbl.gov,Yes,Yes
behavior.lbl.gov,Yes,Yes
behavioranalytics.lbl.gov,Yes,Yes
benefits-tool.usa.gov,No,Yes
benefits.ornl.gov,Yes,Yes
benefits.va.gov,Yes,Yes
benefits.vba.va.gov,Yes,Yes
beoc.ccs.esmo.nasa.gov,No,Yes
berkeleylabexperts.lbl.gov,Yes,Yes
bestar.lbl.gov,Yes,Yes
betobaccofree.hhs.gov,Yes,Yes
betterbuildingssolutioncenter.energy.gov,Yes,Yes
bgas.samhsa.gov,No,Yes
bgexplorer.pnnl.gov,No,Yes
bgj398.ctss.nih.gov,Yes,Yes
bhw.hrsa.gov,Yes,Yes
biamaps.doi.gov,No,Yes
bica.nhgri.nih.gov,No,Yes
bicoid.lbl.gov,Yes,Yes
big.nhlbi.nih.gov,Yes,Yes
bil.usajobs.gov,Yes,Yes
biobeat.nigms.nih.gov,Yes,Yes
biodbnet.abcc.ncifcrf.gov,Yes,Yes
bioenergy.inl.gov,Yes,Yes
bioepic.lbl.gov,Yes,Yes
bioethics.nih.gov,Yes,Yes
bioethicsapps.cc.nih.gov,No,Yes
bioinfo.abcc.ncifcrf.gov,Yes,Yes
bioinformatics.anl.gov,Yes,Yes
bioinformatics.ccr.cancer.gov,Yes,Yes
bioinformatics.niaid.nih.gov,Yes,Yes
bioinformatics.sandia.gov,No,Yes
biolincc.nhlbi.nih.gov,Yes,Yes
biomassboard.gov,Yes,Yes
biomedicalresearchworkforce.nih.gov,Yes,Yes
biometry.nci.nih.gov,No,Yes
bionlp.nlm.nih.gov,Yes,Yes
biosciences.lbl.gov,Yes,Yes
biospecimens.cancer.gov,Yes,Yes
birdsofprey.blm.gov,Yes,Yes
bisulfite.nichd.nih.gov,Yes,Yes
bitbucket.grantsolutions.gov,No,Yes
